1,"{'An': [], 'Binh': [], 'Chau': ['T'], 'Duong': ['S'], 'Linh': ['S'], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
2,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['T'], 'Linh': ['S'], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
3,"{'An': ['S'], 'Binh': [], 'Chau': ['S'], 'Duong': ['T'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
4,"{'An': ['S'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['T'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': []}"
5,"{'An': ['S'], 'Binh': ['S'], 'Chau': ['T'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
6,"{'An': ['T'], 'Binh': ['S'], 'Chau': [], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': ['S']}"
7,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': ['T']}"
8,"{'An': ['T'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
9,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': ['T'], 'Giang': [], 'Hieu': ['S']}"
10,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': ['T']}"
11,"{'An': [], 'Binh': [], 'Chau': ['T'], 'Duong': ['S'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
12,"{'An': ['S'], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': ['T'], 'Hieu': []}"
13,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': []}"
14,"{'An': ['T'], 'Binh': ['S'], 'Chau': [], 'Duong': ['S'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
15,"{'An': ['S'], 'Binh': ['T'], 'Chau': [], 'Duong': [], 'Linh': ['S'], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
16,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
17,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
18,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': ['T'], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
19,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': ['T'], 'Hieu': ['S']}"
20,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['T'], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': []}"
21,"{'An': ['S'], 'Binh': ['S'], 'Chau': ['T'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': []}"
22,"{'An': ['S'], 'Binh': ['T'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
23,"{'An': ['S'], 'Binh': ['T'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
24,"{'An': ['S'], 'Binh': ['T'], 'Chau': [], 'Duong': ['S'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
25,"{'An': ['S'], 'Binh': [], 'Chau': [], 'Duong': ['T'], 'Linh': [], 'Kiet': ['S'], 'Giang': ['S'], 'Hieu': []}"
26,"{'An': [], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': [], 'Kiet': ['S'], 'Giang': ['S'], 'Hieu': []}"
27,"{'An': ['S'], 'Binh': [], 'Chau': ['S'], 'Duong': ['T'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
28,"{'An': [], 'Binh': ['S'], 'Chau': ['T'], 'Duong': [], 'Linh': ['S'], 'Kiet': [], 'Giang': ['S'], 'Hieu': []}"
