1,"{'An': ['S'], 'Binh': [], 'Chau': ['S', 'T'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': []}"
2,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': ['S', 'T'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
3,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S', 'T'], 'Hieu': []}"
4,"{'An': ['T'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
5,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': ['T'], 'Giang': [], 'Hieu': []}"
6,"{'An': ['S'], 'Binh': [], 'Chau': [], 'Duong': ['S', 'T'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
7,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': ['S', 'T'], 'Giang': [], 'Hieu': []}"
8,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['T'], 'Hieu': ['S']}"
9,"{'An': [], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': [], 'Kiet': ['S'], 'Giang': ['S'], 'Hieu': []}"
10,"{'An': ['T'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': []}"
11,"{'An': ['T'], 'Binh': ['S'], 'Chau': [], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S'], 'Hieu': ['S']}"
12,"{'An': [], 'Binh': ['S', 'T'], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': []}"
13,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': ['S', 'T'], 'Hieu': []}"
14,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['T'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
15,"{'An': ['S'], 'Binh': [], 'Chau': ['S'], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['T']}"
16,"{'An': ['S'], 'Binh': [], 'Chau': ['S', 'T'], 'Duong': [], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
17,"{'An': ['S'], 'Binh': ['S'], 'Chau': [], 'Duong': ['T'], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
18,"{'An': [], 'Binh': ['S'], 'Chau': [], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': ['T'], 'Hieu': ['S']}"
19,"{'An': ['S'], 'Binh': [], 'Chau': [], 'Duong': [], 'Linh': ['S'], 'Kiet': ['S'], 'Giang': ['T'], 'Hieu': []}"
20,"{'An': ['S', 'T'], 'Binh': [], 'Chau': [], 'Duong': ['S'], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': ['S']}"
21,"{'An': ['S'], 'Binh': ['T'], 'Chau': [], 'Duong': ['S'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
22,"{'An': [], 'Binh': [], 'Chau': [], 'Duong': ['S'], 'Linh': ['S'], 'Kiet': ['T'], 'Giang': [], 'Hieu': ['S']}"
23,"{'An': ['S', 'T'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': [], 'Giang': [], 'Hieu': []}"
24,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': ['T'], 'Linh': ['S'], 'Kiet': [], 'Giang': ['S'], 'Hieu': []}"
25,"{'An': [], 'Binh': ['S'], 'Chau': ['S'], 'Duong': ['S'], 'Linh': ['T'], 'Kiet': [], 'Giang': [], 'Hieu': []}"
26,"{'An': [], 'Binh': [], 'Chau': ['S'], 'Duong': [], 'Linh': ['S'], 'Kiet': [], 'Giang': [], 'Hieu': ['S', 'T']}"
27,"{'An': ['T'], 'Binh': [], 'Chau': [], 'Duong': ['S'], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': ['S']}"
28,"{'An': ['T'], 'Binh': ['S'], 'Chau': ['S'], 'Duong': [], 'Linh': [], 'Kiet': ['S'], 'Giang': [], 'Hieu': []}"
